day,Account,daily_pnl,trade_count,win_rate,avg_trade_size,avg_leverage,long_ratio,sentiment
2024-03-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0.0,213.9,,0.0,Extreme Greed
2024-03-18,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,12,0.0,0.8019416666666667,,0.0,Extreme Greed
2024-03-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1244.6384,6,0.8333333333333334,3254.0,,0.0,Extreme Greed
2024-03-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,212.3193,1,1.0,366.7,,0.0,Extreme Greed
2024-03-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,4,0.0,0.671225,,0.0,Extreme Greed
2024-03-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,842.799493,10,0.5,17476.2,,0.0,Extreme Greed
2024-03-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-174.00152,10,0.0,149.84,,0.0,Extreme Greed
2024-03-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2593.147623,59,0.9491525423728814,3313.793220338983,,0.0,Greed
2024-03-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3829.986976,10,0.4,226.05712,,0.0,Greed
2024-03-21,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,1,0.0,2.8186,,0.0,Extreme Greed
2024-03-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2097.182,23,0.9565217391304348,3981.7391304347825,,0.0,Extreme Greed
2024-03-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,238.326075,4,0.25,17257.5,,0.0,Extreme Greed
2024-03-24,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1297.018477,19,0.7894736842105263,538.7263157894737,,0.0,Greed
2024-03-25,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1302.916428,7,0.8571428571428571,2.279657142857143,,0.0,Extreme Greed
2024-03-26,0x4f93fead39b70a1824f981a54d4e55b278e9f760,20.599193,7,0.14285714285714285,0.9508,,0.0,Extreme Greed
2024-03-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3195.3074,111,0.9819819819819819,301.2486486486486,,0.0,Extreme Greed
2024-03-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,189.192,27,0.4444444444444444,0.9032518518518518,,0.0,Extreme Greed
2024-03-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-38.78086,11,0.0,1245.2728145454546,,0.0,Extreme Greed
2024-03-28,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,3,0.0,1.9148666666666667,,0.0,Extreme Greed
2024-03-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,227.85100799999998,10,0.9,39856.6,,0.0,Extreme Greed
2024-03-29,0x4f93fead39b70a1824f981a54d4e55b278e9f760,883.097404,15,0.4,1.6297,,0.0,Extreme Greed
2024-03-30,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1100.57514,45,0.9777777777777777,11507.333333333334,,0.0,Extreme Greed
2024-03-31,0x4f93fead39b70a1824f981a54d4e55b278e9f760,912.786145,13,0.7692307692307693,0.8463384615384617,,0.0,Extreme Greed
2024-04-01,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.840939,29,0.06896551724137931,1.3230137931034485,,0.0,Extreme Greed
2024-04-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2507.122467,48,0.8333333333333334,199237.33333333334,,0.0,Extreme Greed
2024-04-02,0x4f93fead39b70a1824f981a54d4e55b278e9f760,883.760812,37,0.32432432432432434,1.7731054054054054,,0.0,Extreme Greed
2024-04-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,4,0.0,1473.125,,0.0,Extreme Greed
2024-04-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,126.7884,2,0.5,738.0,,0.0,Greed
2024-04-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0.0,417.0,,0.0,Greed
